ID,Sev,Pri,State,Product,Comp,Summary,Sum
30316,maj,P3,RESO,PDE,UI,Switching back to manifest editor loses focus,'Switching back to manifest editor loses focus'
30317,enh,P3,RESO,PDE,UI,Links to sub-elements in generate HTML docs from schema f...,'Links to sub-elements in generate HTML docs from schema f...'
30318,nor,P2,VERI,Platform,Ant,Planty should be renamed to  Ant Editor ,'Planty should be renamed to  Ant Editor '
30321,nor,P2,RESO,JDT,Text,Missing action def name for goto matching bracket,'Missing action def name for goto matching bracket'
30323,cri,P2,RESO,PDE,UI,ManifestConsistencyChecker fills log,'ManifestConsistencyChecker fills log'
30324,nor,P2,VERI,Platform,Debug,NPE restoring shared launch config,'NPE restoring shared launch config'
30328,nor,P2,VERI,JDT,Debug,debug action group out of date,'debug action group out of date'
30331,nor,P3,VERI,Platform,Ant,[Ant View] Add build files sorts case dependant,'[Ant View] Add build files sorts case dependant'
30332,enh,P3,VERI,Platform,Debug,Not enough IDisconnect support,'Not enough IDisconnect support'
30333,nor,P2,VERI,Platform,Debug,Problem when multiple debug events occur at the same time,'Problem when multiple debug events occur at the same time'
30334,nor,P3,RESO,Platform,UI,[Preferences] M4-solaris-motif fails to start,'[Preferences] M4-solaris-motif fails to start'
30338,nor,P3,RESO,PDE,UI,Element and attribute descriptions are r/o,'Element and attribute descriptions are r/o'
30339,cri,P3,RESO,Platform,Team,Checkout of multiple projects simultaneously needs to all...,'Checkout of multiple projects simultaneously needs to all...'
30340,nor,P3,RESO,Platform,UI,[Editor Mgmt] NPE restoring workbench state,'[Editor Mgmt] NPE restoring workbench state'
30341,nor,P3,RESO,JDT,UI,NPE attempting  Show in package explorer  [packge explorer],'NPE attempting  Show in package explorer  [packge explorer]'
30342,maj,P3,RESO,Platform,Resource,[resources] 12 minutes to start a workbench.,'[resources] 12 minutes to start a workbench.'
30343,enh,P3,VERI,Platform,Ant,Ant Editor outline does not indicate default target,'Ant Editor outline does not indicate default target'
30344,enh,P4,VERI,JDT,Debug,Insertion of 'scrapbook' error messages unhelpful,'Insertion of 'scrapbook' error messages unhelpful'
30347,cri,P2,RESO,Platform,Text,IllegalArgumentException in DocumentAdapter.getLine after...,'IllegalArgumentException in DocumentAdapter.getLine after...'
30348,nor,P3,CLOS,Platform,Help,DBCS: DBCS Bookmark name in online Help became unknown code,'DBCS: DBCS Bookmark name in online Help became unknown code'
30350,nor,P3,CLOS,JDT,UI,Can not  Restore Defaults  setting for 'Java Task Tags'.,'Can not  Restore Defaults  setting for 'Java Task Tags'.'
30356,cri,P2,VERI,Platform,UI,GB18030: Cannot wake up IME in the Editor view on Linux,'GB18030: Cannot wake up IME in the Editor view on Linux'
30362,nor,P3,CLOS,Platform,UI,[Preferences] DBCS:Scroll bar doesn't appear when resize ...,'[Preferences] DBCS:Scroll bar doesn't appear when resize ...'
30367,cri,P3,CLOS,Platform,UI,[Editor Mgmt] DBCS: Problem occurs during switch editors ...,'[Editor Mgmt] DBCS: Problem occurs during switch editors ...'
30369,nor,P3,RESO,Platform,UI,[KeyBindings] Warnings due to wrong 'actionDefinitions' s...,'[KeyBindings] Warnings due to wrong 'actionDefinitions' s...'
30373,nor,P3,RESO,JDT,UI,No Expand Selection To actions in class files,'No Expand Selection To actions in class files'
30377,maj,P3,RESO,Platform,SWT,No caret in Java Editor,'No caret in Java Editor'
30380,cri,P1,VERI,JDT,Text,Show outline doesn't get focus,'Show outline doesn't get focus'
30384,nor,P4,RESO,PDE,UI,Errors show up in Plug-in manifest editor,'Errors show up in Plug-in manifest editor'
30385,cri,P1,RESO,PDE,UI,Stopping at a breakpoint doesn't open editor,'Stopping at a breakpoint doesn't open editor'
30393,maj,P3,VERI,JDT,Core,Its back: Core Exception [code 380] The resource tree is ...,'Its back: Core Exception [code 380] The resource tree is ...'
30394,nor,P3,RESO,Platform,UI,[Linked Resources] 'Resolved Location' superfluous and co...,'[Linked Resources] 'Resolved Location' superfluous and co...'
30396,nor,P3,RESO,Platform,Releng,Need 2.2 milestone,'Need 2.2 milestone'
30401,blo,P1,RESO,Platform,SWT,SWT standalone examples can't come to foreground,'SWT standalone examples can't come to foreground'
30402,nor,P3,RESO,Platform,UI,[Preferences] Banner should have 1-pixel border,'[Preferences] Banner should have 1-pixel border'
30403,nor,P2,RESO,Platform,SWT,CTabItem close box shifts by 2 pixels when tab selected,'CTabItem close box shifts by 2 pixels when tab selected'
30410,nor,P3,RESO,JDT,UI,Change method signatue [refactoring],'Change method signatue [refactoring]'
30411,nor,P2,VERI,Platform,Debug,Exceptions deleting Launch Configurations,'Exceptions deleting Launch Configurations'
30412,maj,P3,RESO,JDT,UI,ClassCastException selecting package in java browsing per...,'ClassCastException selecting package in java browsing per...'
30415,nor,P3,RESO,Platform,Resource,No-ops cause snapshots,'No-ops cause snapshots'
30416,maj,P2,RESO,Platform,Update,Do not filter feature references on the remote site,'Do not filter feature references on the remote site'
30417,nor,P3,VERI,JDT,Core,ICodeFormatter format method should specify that the posi...,'ICodeFormatter format method should specify that the posi...'
30420,nor,P2,VERI,Platform,Ant,StringIndexOutOfBoundsException on restart with Ant edito...,'StringIndexOutOfBoundsException on restart with Ant edito...'
30421,nor,P3,RESO,JDT,UI,Filter closed projects from Packages view,'Filter closed projects from Packages view'
30422,nor,P3,RESO,PDE,UI,package filters still show binary projects,'package filters still show binary projects'
30426,maj,P2,RESO,Platform,UI,[Wizards] New submenu should have entry for examples,'[Wizards] New submenu should have entry for examples'
30427,cri,P1,RESO,Platform,SWT,HANG/GP - XtDispatchEvent - Eclipse keeps locking up,'HANG/GP - XtDispatchEvent - Eclipse keeps locking up'
30429,nor,P3,RESO,Platform,Doc,Broken extension point doc links,'Broken extension point doc links'
30430,nor,P3,VERI,JDT,Doc,Broken extension point doc links,'Broken extension point doc links'
30434,nor,P2,RESO,Platform,SWT,BIDI: StyledText to support RIGHT_TO_LEFT orientation,'BIDI: StyledText to support RIGHT_TO_LEFT orientation'
30435,nor,P4,RESO,Platform,UI,[View Mgmt] Fastview move too sensitive,'[View Mgmt] Fastview move too sensitive'
30436,nor,P3,RESO,Platform,Team,[CVS UI]  Refresh Branches and Versions  needs  ... ,'[CVS UI]  Refresh Branches and Versions  needs  ... '
30437,nor,P3,RESO,Platform,Team,[CVS UI]  Add to Branch  should be reworded,'[CVS UI]  Add to Branch  should be reworded'
30441,nor,P3,RESO,Platform,Doc,[Team CVS] New 2.1 features requiring F1 help and DOC,'[Team CVS] New 2.1 features requiring F1 help and DOC'
30443,maj,P3,RESO,Platform,SWT,Menubar of SWT standalone applications is empty,'Menubar of SWT standalone applications is empty'
30447,nor,P2,RESO,Platform,Text,NPE in Java editor (invalid range argument),'NPE in Java editor (invalid range argument)'
30448,nor,P2,VERI,JDT,Debug,Source lookup tab makes dialog unreasonably large.,'Source lookup tab makes dialog unreasonably large.'
30449,nor,P3,RESO,Platform,UI,[Working Sets] API to get the image associated with an IW...,'[Working Sets] API to get the image associated with an IW...'
30450,nor,P2,RESO,Platform,UI,[GlobalActions] ArrayIndexOutOfBounds in jdt.internal.com...,'[GlobalActions] ArrayIndexOutOfBounds in jdt.internal.com...'
30451,enh,P3,RESO,Platform,Update,Add description and 'More Info...' to one-click update,'Add description and 'More Info...' to one-click update'
30452,maj,P3,RESO,Platform,SWT,Mouse gets warped to upper left corner of workbench windo...,'Mouse gets warped to upper left corner of workbench windo...'
30464,nor,P3,CLOS,Platform,UI,[About] DBCS: pop up  Unable to open web browser ,'[About] DBCS: pop up  Unable to open web browser '
30468,enh,P3,RESO,JDT,Text,enhanced smart pasting,'enhanced smart pasting'
30469,maj,P3,CLOS,Platform,Resource,[resources] DBCS: Creating a DBCS file name without the e...,'[resources] DBCS: Creating a DBCS file name without the e...'
30471,cri,P3,VERI,JDT,Core,AST.parseCompilationUnit(IClassFile  boolean) throws IAE ...,'AST.parseCompilationUnit(IClassFile  boolean) throws IAE ...'
30473,nor,P3,CLOS,Platform,Help,DBCS: Working Set can't change to DBCS in online Help,'DBCS: Working Set can't change to DBCS in online Help'
30474,min,P3,RESO,JDT,UI,extract method: creates unneeded return type,'extract method: creates unneeded return type'
30477,maj,P2,CLOS,Platform,Help,DBCS: Unable to remove DBCS Working Set,'DBCS: Unable to remove DBCS Working Set'
30486,nor,P3,RESO,Platform,Team,ClassCastException during shutdown,'ClassCastException during shutdown'
30487,nor,P3,VERI,JDT,Core,NPE during shutdown in path canonicalization,'NPE during shutdown in path canonicalization'
30488,nor,P3,RESO,Platform,Text,Find inside read-only file causes error message,'Find inside read-only file causes error message'
30489,nor,P3,RESO,JDT,UI,[browsing] leverage the new IElementComparer support,'[browsing] leverage the new IElementComparer support'
30492,nor,P3,RESO,Platform,UI,[GlobalActions] OpenWorkspaceFileAction should log except...,'[GlobalActions] OpenWorkspaceFileAction should log except...'
30493,nor,P2,VERI,Platform,Debug,No need for the verify key listener in the VariablesView,'No need for the verify key listener in the VariablesView'
30496,nor,P3,VERI,JDT,Core,CU/classfile name validation shouldn't scan if suffix isn...,'CU/classfile name validation shouldn't scan if suffix isn...'
30498,min,P2,VERI,JDT,Debug,Typo in error dialog,'Typo in error dialog'
30500,nor,P3,RESO,Platform,SWT, roaming  focus,' roaming  focus'
30501,nor,P3,RESO,Platform,UI,[ActionSets] Menu Item stays disabled although enabled su...,'[ActionSets] Menu Item stays disabled although enabled su...'
30502,nor,P3,RESO,Platform,Team,[CVS Core UI] Stacktrace lost when status logged,'[CVS Core UI] Stacktrace lost when status logged'
30503,nor,P3,VERI,JDT,Core,IPackageFragmentRoot:move  copy should accept null as sib...,'IPackageFragmentRoot:move  copy should accept null as sib...'
30505,maj,P2,RESO,JDT,UI,Exception attaching source to library [build path],'Exception attaching source to library [build path]'
30506,nor,P3,VERI,JDT,Core,IPackageFragmentRoot:delete does not handle external jars,'IPackageFragmentRoot:delete does not handle external jars'
30511,maj,P3,VERI,JDT,Core,IPackageFragmentRoot:move ignores FORCE flag,'IPackageFragmentRoot:move ignores FORCE flag'
30513,nor,P3,VERI,Platform,Debug,Step actions should be disabled when debug view closed,'Step actions should be disabled when debug view closed'
30516,tri,P3,VERI,JDT,Core,typo in javadoc of IPackageFragmentRoot:isArchive,'typo in javadoc of IPackageFragmentRoot:isArchive'
30517,nor,P3,RESO,JDT,Text,Print margin is broken,'Print margin is broken'
30523,nor,P2,RESO,PDE,UI,I20030128: NPE launching Rentime-workspace,'I20030128: NPE launching Rentime-workspace'
30525,nor,P2,RESO,Platform,Compare, Team  menu item missing accelerator,' Team  menu item missing accelerator'
30528,nor,P2,RESO,Platform,Resource,[resources] API: IWorkspace.isTreeLocked(),'[resources] API: IWorkspace.isTreeLocked()'
30529,enh,P3,VERI,Platform,Team,Support for Show In... in Team support,'Support for Show In... in Team support'
30533,nor,P3,RESO,Platform,Search,Find/Replace error,'Find/Replace error'
30536,nor,P2,RESO,JDT,UI,Custom output doesn't have to be relative to source folde...,'Custom output doesn't have to be relative to source folde...'
30537,nor,P2,RESO,Platform,SWT,setSelection(allItems) not working on GTK,'setSelection(allItems) not working on GTK'
30544,nor,P2,RESO,Platform,UI,[Coolbar] NPE opening Ant Editor,'[Coolbar] NPE opening Ant Editor'
30547,nor,P2,VERI,Platform,Ant,Ant view Properties action doesn't handle more than one c...,'Ant view Properties action doesn't handle more than one c...'
30548,nor,P2,RESO,PDE,UI,NPE removing PDE nature,'NPE removing PDE nature'
30549,nor,P3,RESO,Platform,Resource,[resources] ValidateEdit spec - should say  must prompt  ...,'[resources] ValidateEdit spec - should say  must prompt  ...'
30551,nor,P3,RESO,PDE,Build,Feature assembler / packager,'Feature assembler / packager'
30552,nor,P3,RESO,Platform,Help,CreateProcess exception calling standalone Help,'CreateProcess exception calling standalone Help'
30553,enh,P3,RESO,JDT,UI,Quick fix suggestions for unresolved type after  new  cou...,'Quick fix suggestions for unresolved type after  new  cou...'
30555,nor,P2,RESO,PDE,UI,Boot code not being used to run Runtime Workbench,'Boot code not being used to run Runtime Workbench'
30557,enh,P3,RESO,JDT,Text,New 'for' template to include with default installation [...,'New 'for' template to include with default installation [...'
30558,nor,P3,RESO,PDE,UI,[Wizards] Question: how to open editor in the perspective...,'[Wizards] Question: how to open editor in the perspective...'
30559,nor,P2,VERI,Platform,Ant,ExternalToolsPlugin.log(Throwable) logs no message,'ExternalToolsPlugin.log(Throwable) logs no message'
30560,min,P3,RESO,Platform,UI,[ActionSets] API bug: MenuManager.createMenuBar should ta...,'[ActionSets] API bug: MenuManager.createMenuBar should ta...'
